Symbol,     Date,            Expiry,        Open,         High,          Low,         Close,           LTP,             Settle Price,       No. of contracts ,    Turnover Lakhs,             Open Int,               Change in OI,         Underlying Value  
TCS,     21-Sep-2023,     28-Sep-2023,      3596.00,      3607.60,      3531.05,      3587.20,      3588.70            ,3587.20             ,15805.00            ,98623.74                 ,8924825.00              ,-492275.00              ,3585.30
TCS,     21-Sep-2023,     26-Oct-2023,      3612.05,      3623.90,      3547.05,      3601.65,      3603.00            ,3601.65             ,3827.00             ,23954.03                 ,876225.00               ,212275.00               ,3585.30
TCS,     21-Sep-2023,     30-Nov-2023,      3638.00,      3638.00,      3570.00,      3625.45,      3625.00            ,3625.45             ,125.00              ,787.47                   ,41300.00                ,5250.00                 ,3585.30
TCS,     22-Sep-2023,     28-Sep-2023,      3581.05,      3633.65,      3565.20,      3604.40,      3607.05            ,3604.40             ,12493.00            ,78809.67                 ,8644300.00              ,-280525.00              ,3603.65
TCS,     22-Sep-2023,     26-Oct-2023,      3592.00,      3648.00,      3584.95,      3620.35,      3623.85            ,3620.35             ,4165.00             ,26391.98                 ,1092700.00              ,216475.00               ,3603.65
TCS,     22-Sep-2023,     30-Nov-2023,      3619.80,      3668.90,      3617.00,      3647.40,      3647.25            ,3647.40             ,82.00               ,522.91                   ,44800.00                ,3500.00                 ,3603.65
TCS,     25-Sep-2023,     28-Sep-2023,      3612.45,      3612.45,      3563.50,      3575.45,      3573.50            ,3575.45             ,19395.00            ,121549.89                ,7228725.00              ,-1415575.00             ,3577.15
TCS,     25-Sep-2023,     26-Oct-2023,      3624.00,      3624.00,      3579.10,      3588.60,      3587.00            ,3588.60             ,14035.00            ,88322.55                 ,2637075.00              ,1544375.00              ,3577.15
TCS,     25-Sep-2023,     30-Nov-2023,      3647.35,      3647.35,      3605.00,      3611.40,      3613.00            ,3611.40             ,1752.00             ,11071.22                 ,342125.00               ,297325.00               ,3577.15
TCS,     26-Sep-2023,     28-Sep-2023,      3572.50,      3588.00,      3542.30,      3582.70,      3585.65            ,3582.70             ,23463.00            ,146269.26                ,4797800.00              ,-2430925.00             ,3585.70
TCS,     26-Sep-2023,     26-Oct-2023,      3587.00,      3602.65,      3557.20,      3596.45,      3601.25            ,3596.45             ,17121.00            ,107149.30                ,4145050.00              ,1507975.00              ,3585.70
TCS,     26-Sep-2023,     30-Nov-2023,      3597.15,      3625.00,      3583.00,      3619.60,      3625.00            ,3619.60             ,4255.00             ,26834.93                 ,1073975.00              ,731850.00               ,3585.70
TCS,     27-Sep-2023,     28-Sep-2023,      3578.65,      3612.95,      3557.55,      3588.80,      3588.30            ,3588.80             ,13295.00            ,83443.26                 ,3672375.00              ,-1125425.00             ,3589.30
TCS,     27-Sep-2023,     26-Oct-2023,      3597.50,      3627.00,      3572.10,      3602.35,      3601.70            ,3602.35             ,13858.00            ,87340.60                 ,5536300.00              ,1391250.00              ,3589.30
TCS,     27-Sep-2023,     30-Nov-2023,      3615.00,      3649.80,      3596.00,      3625.55,      3626.50            ,3625.55             ,509.00              ,3231.82                  ,1142575.00              ,68600.00                ,3589.30
TCS,     28-Sep-2023,     28-Sep-2023,      3592.05,      3595.85,      3531.35,      3539.25,      3548.00            ,3536.75             ,19862.00            ,123603.72                ,1512175.00              ,-2160200.00             ,3536.75
TCS,     28-Sep-2023,     26-Oct-2023,      3595.20,      3608.95,      3537.05,      3547.70,      3557.00            ,3547.70             ,30691.00            ,191480.84                ,8144850.00              ,2608550.00              ,3536.75
TCS,     28-Sep-2023,     30-Nov-2023,      3628.70,      3634.80,      3560.25,      3568.95,      3579.60            ,3568.95             ,232.00              ,1460.71                  ,1159025.00              ,16450.00                ,3536.75
TCS,     29-Sep-2023,     26-Oct-2023,      3537.00,      3563.30,      3501.15,      3527.70,      3529.50            ,3527.70             ,12907.00            ,79795.98                 ,8082900.00              ,-61950.00               ,3528.60
TCS,     29-Sep-2023,     30-Nov-2023,      3553.50,      3582.00,      3527.00,      3550.60,      3548.45            ,3550.60             ,290.00              ,1801.94                  ,1168300.00              ,9275.00                 ,3528.60
TCS,     29-Sep-2023,     28-Dec-2023,      3594.35,      3609.95,      3551.00,      3581.00,      3581.00            ,3591.80             ,13.00               ,81.47                    ,1575.00                 ,1575.00                 ,3528.60
TCS,     03-Oct-2023,     26-Oct-2023,      3524.00,      3529.00,      3487.00,      3508.80,      3507.75            ,3508.80             ,10883.00            ,66788.54                 ,8299025.00              ,216125.00               ,3513.85
TCS,     03-Oct-2023,     30-Nov-2023,      3542.15,      3548.45,      3511.00,      3530.70,      3527.45            ,3530.70             ,262.00              ,1617.25                  ,1178100.00              ,9800.00                 ,3513.85
TCS,     03-Oct-2023,     28-Dec-2023,      3581.00,      3581.00,      3538.00,      3549.55,      3549.55            ,3549.55             ,20.00               ,124.27                   ,3150.00                 ,1575.00                 ,3513.85
TCS,     04-Oct-2023,     26-Oct-2023,      3487.00,      3558.00,      3480.60,      3546.60,      3554.95            ,3546.60             ,18329.00            ,112755.17                ,8810025.00              ,511000.00               ,3537.75
TCS,     04-Oct-2023,     30-Nov-2023,      3516.10,      3582.65,      3501.05,      3572.60,      3582.35            ,3572.60             ,401.00              ,2483.92                  ,1200675.00              ,22575.00                ,3537.75
